epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.292,2.20623,5.12276,1.76314,0.14763,0.16657,0.02011,0.0108,1.80419,4.82283,1.58292,6.672e-05,6.672e-05,6.672e-05
2,364.178,1.49326,3.02869,1.27584,0.14604,0.58308,0.18137,0.11001,1.42642,3.92505,1.28647,0.000134871,0.000134871,0.000134871
3,375.036,1.34988,2.19995,1.21265,0.21278,0.67097,0.30674,0.18435,1.40337,2.3898,1.28089,0.000201647,0.000201647,0.000201647
4,384.733,1.32409,1.94487,1.19629,0.26883,0.67264,0.3359,0.2067,1.29831,1.85834,1.23342,0.000267046,0.000267046,0.000267046
5,395.155,1.27931,1.78984,1.15825,0.31533,0.66414,0.38776,0.24111,1.3009,1.68951,1.22375,0.000266991,0.000266991,0.000266991
6,405.79,1.26991,1.68859,1.17864,0.3181,0.71288,0.39192,0.23482,1.31917,1.66279,1.20834,0.000264239,0.000264239,0.000264239
7,416.461,1.21792,1.58138,1.14275,0.35089,0.71176,0.42481,0.25635,1.32107,1.56603,1.20235,0.000261487,0.000261487,0.000261487
8,425.909,1.21841,1.55,1.13994,0.43348,0.73697,0.53351,0.33494,1.23476,1.46408,1.19762,0.000258735,0.000258735,0.000258735
9,436.986,1.19484,1.47873,1.13563,0.42255,0.81206,0.4911,0.3074,1.22194,1.42737,1.18433,0.000255982,0.000255982,0.000255982
10,447.693,1.18877,1.43096,1.13333,0.41175,0.79761,0.46677,0.29248,1.22045,1.43111,1.18372,0.00025323,0.00025323,0.00025323
11,457.541,1.19536,1.40871,1.1339,0.46219,0.81378,0.5887,0.37156,1.21246,1.3244,1.17617,0.000250478,0.000250478,0.000250478
12,467.67,1.16337,1.36028,1.1155,0.4111,0.82756,0.45317,0.27652,1.26393,1.44622,1.19036,0.000247726,0.000247726,0.000247726
13,478.376,1.15825,1.36461,1.11714,0.38688,0.76775,0.45812,0.29001,1.2444,1.4796,1.19177,0.000244974,0.000244974,0.000244974
14,488.514,1.14291,1.3122,1.10158,0.48576,0.84279,0.62773,0.40743,1.20092,1.23425,1.17067,0.000242221,0.000242221,0.000242221
15,498.184,1.13933,1.30845,1.10144,0.45128,0.86719,0.54032,0.34543,1.21017,1.28978,1.18182,0.000239469,0.000239469,0.000239469
16,509.009,1.13179,1.27779,1.10366,0.47478,0.83888,0.58945,0.37652,1.20997,1.25236,1.16987,0.000236717,0.000236717,0.000236717
17,519.734,1.15246,1.27259,1.09967,0.41147,0.82859,0.50276,0.32082,1.21329,1.35792,1.16612,0.000233965,0.000233965,0.000233965
18,529.082,1.13475,1.22908,1.0885,0.4748,0.85571,0.56348,0.35846,1.2186,1.27069,1.1801,0.000231213,0.000231213,0.000231213
19,539.362,1.14223,1.22342,1.10318,0.49409,0.81341,0.61513,0.39801,1.19917,1.23868,1.17262,0.00022846,0.00022846,0.00022846
20,550.534,1.14171,1.18036,1.1021,0.56573,0.80493,0.70334,0.4628,1.17925,1.12885,1.1527,0.000225708,0.000225708,0.000225708
21,560.718,1.09951,1.15457,1.08738,0.52423,0.82541,0.65702,0.42958,1.19064,1.17864,1.16255,0.000222956,0.000222956,0.000222956
22,570.533,1.12703,1.16451,1.08928,0.51716,0.80471,0.64066,0.42305,1.20946,1.20586,1.17017,0.000220204,0.000220204,0.000220204
23,581.232,1.10723,1.12691,1.08121,0.49827,0.81007,0.64961,0.41836,1.22566,1.29166,1.16664,0.000217452,0.000217452,0.000217452
24,591.989,1.10775,1.08923,1.08118,0.61125,0.75661,0.73105,0.48131,1.20832,1.09165,1.16939,0.000214699,0.000214699,0.000214699
25,601.853,1.07658,1.06772,1.07091,0.59296,0.77725,0.73259,0.47075,1.21291,1.13749,1.16318,0.000211947,0.000211947,0.000211947
26,612.157,1.0995,1.03627,1.07813,0.59143,0.77763,0.71452,0.46933,1.19122,1.11291,1.15871,0.000209195,0.000209195,0.000209195
27,622.736,1.08082,0.98961,1.07235,0.47195,0.73208,0.5781,0.3826,1.18393,1.34224,1.16321,0.000206443,0.000206443,0.000206443
28,633.355,1.09377,1.00359,1.07644,0.61904,0.79627,0.75687,0.48107,1.2239,1.15201,1.16341,0.000203691,0.000203691,0.000203691
29,642.635,1.07904,0.92333,1.06103,0.68032,0.78451,0.7693,0.49249,1.17853,1.08735,1.15742,0.000200938,0.000200938,0.000200938
30,653.535,1.06799,0.92207,1.06499,0.76424,0.82785,0.8537,0.54755,1.19347,0.94694,1.15115,0.000198186,0.000198186,0.000198186
31,664.134,1.0642,0.88414,1.05572,0.69661,0.80477,0.81705,0.52211,1.1952,1.02381,1.15165,0.000195434,0.000195434,0.000195434
32,673.82,1.05466,0.84979,1.05757,0.74887,0.7704,0.81061,0.52183,1.20521,0.99781,1.15775,0.000192682,0.000192682,0.000192682
33,683.833,1.04121,0.84039,1.05829,0.69914,0.79171,0.8117,0.52594,1.18581,1.04902,1.14154,0.00018993,0.00018993,0.00018993
34,694.556,1.0593,0.84135,1.05197,0.8197,0.84232,0.87777,0.56214,1.19199,0.90082,1.15469,0.000187177,0.000187177,0.000187177
35,705.48,1.07105,0.84526,1.06388,0.78464,0.8346,0.85143,0.55151,1.1857,0.90811,1.15695,0.000184425,0.000184425,0.000184425
36,714.974,1.01937,0.78483,1.04233,0.73984,0.8393,0.84197,0.54098,1.17158,0.94068,1.14541,0.000181673,0.000181673,0.000181673
37,725.496,1.05002,0.80626,1.05343,0.80446,0.84769,0.87044,0.55427,1.1832,0.9135,1.15173,0.000178921,0.000178921,0.000178921
38,735.991,1.02543,0.75138,1.04359,0.75233,0.79663,0.81906,0.52849,1.1756,0.97529,1.14488,0.000176169,0.000176169,0.000176169
39,745.465,1.03216,0.7775,1.05383,0.69183,0.76001,0.78843,0.51169,1.19376,1.04471,1.14139,0.000173416,0.000173416,0.000173416
40,755.818,1.02324,0.79773,1.04232,0.78882,0.83308,0.8655,0.55318,1.17868,0.9588,1.144,0.000170664,0.000170664,0.000170664
41,766.816,1.03208,0.75961,1.04379,0.79731,0.85133,0.86683,0.56563,1.15727,0.88411,1.14049,0.000167912,0.000167912,0.000167912
42,777.69,1.02088,0.74668,1.03974,0.63824,0.80059,0.74891,0.50082,1.16536,1.08949,1.14625,0.00016516,0.00016516,0.00016516
43,787.056,1.03363,0.74585,1.04214,0.75213,0.80503,0.82409,0.53227,1.19292,0.94797,1.16189,0.000162408,0.000162408,0.000162408
44,797.995,0.99821,0.70736,1.02979,0.84832,0.83529,0.89986,0.58842,1.15969,0.82303,1.14386,0.000159655,0.000159655,0.000159655
45,808.717,1.02717,0.71199,1.0355,0.79241,0.83987,0.8687,0.57485,1.14721,0.87793,1.13226,0.000156903,0.000156903,0.000156903
46,817.895,1.02951,0.73153,1.04433,0.81849,0.85006,0.87696,0.57694,1.14561,0.8538,1.13385,0.000154151,0.000154151,0.000154151
47,828.455,1.00587,0.69092,1.03116,0.71482,0.79219,0.8152,0.53505,1.1837,0.96963,1.15465,0.000151399,0.000151399,0.000151399
48,839.155,1.00495,0.70602,1.03988,0.81435,0.85145,0.87434,0.57243,1.17211,0.8566,1.14858,0.000148647,0.000148647,0.000148647
49,849.454,1.00731,0.68244,1.03475,0.83283,0.84811,0.88866,0.58744,1.15831,0.81174,1.13698,0.000145894,0.000145894,0.000145894
50,858.951,0.98411,0.6662,1.02538,0.79603,0.81053,0.85096,0.55949,1.15227,0.89224,1.14167,0.000143142,0.000143142,0.000143142
51,869.678,0.98759,0.68143,1.03126,0.80306,0.81071,0.86094,0.55802,1.1781,0.95036,1.15175,0.00014039,0.00014039,0.00014039
52,880.559,0.96311,0.6513,1.0146,0.7848,0.85246,0.86698,0.57598,1.14752,0.86389,1.14103,0.000137638,0.000137638,0.000137638
53,890.068,0.96772,0.6424,1.01476,0.83876,0.85455,0.89362,0.59022,1.17154,0.82017,1.14246,0.000134886,0.000134886,0.000134886
54,900.294,0.97414,0.65701,1.02125,0.80275,0.84361,0.87658,0.58431,1.14271,0.84455,1.13489,0.000132133,0.000132133,0.000132133
55,910.97,0.95763,0.64696,1.01545,0.84398,0.86041,0.8987,0.58934,1.14486,0.80371,1.1328,0.000129381,0.000129381,0.000129381
56,921.012,0.97769,0.64559,1.02343,0.82733,0.86387,0.89139,0.58879,1.16162,0.8139,1.13751,0.000126629,0.000126629,0.000126629
57,930.703,0.95076,0.6319,1.01001,0.83499,0.87213,0.89247,0.59467,1.15057,0.80214,1.13022,0.000123877,0.000123877,0.000123877
58,941.759,0.97711,0.6384,1.02472,0.7735,0.82117,0.85066,0.56646,1.13843,0.89207,1.13481,0.000121125,0.000121125,0.000121125
59,952.619,0.97453,0.65279,1.01688,0.84953,0.86272,0.90786,0.60274,1.16872,0.75896,1.13737,0.000118372,0.000118372,0.000118372
60,962.125,0.94271,0.61732,1.00524,0.8364,0.86072,0.88838,0.58923,1.16666,0.82058,1.13475,0.00011562,0.00011562,0.00011562
61,972.705,0.9553,0.61177,1.00533,0.8082,0.84763,0.87008,0.57253,1.18962,0.87874,1.14446,0.000112868,0.000112868,0.000112868
62,983.331,0.95126,0.60915,1.01685,0.85243,0.8673,0.90301,0.60721,1.14082,0.77064,1.13108,0.000110116,0.000110116,0.000110116
63,993.094,0.94115,0.60885,1.00634,0.85561,0.86744,0.90334,0.6057,1.1409,0.76835,1.13009,0.000107364,0.000107364,0.000107364
64,1003.07,0.93067,0.60473,0.99853,0.85836,0.88644,0.90989,0.60568,1.16706,0.74216,1.13352,0.000104611,0.000104611,0.000104611
65,1013.81,0.94989,0.61754,1.00937,0.85595,0.84992,0.89543,0.59463,1.15042,0.77102,1.13789,0.000101859,0.000101859,0.000101859
66,1024.18,0.92573,0.59356,0.99986,0.83552,0.87691,0.89895,0.598,1.14572,0.78793,1.12927,9.9107e-05,9.9107e-05,9.9107e-05
67,1033.73,0.93356,0.59809,1.00483,0.86649,0.85105,0.89846,0.60859,1.13113,0.76208,1.11991,9.63548e-05,9.63548e-05,9.63548e-05
68,1044.68,0.94814,0.60862,1.00342,0.845,0.87659,0.89684,0.59717,1.14467,0.76438,1.1291,9.36026e-05,9.36026e-05,9.36026e-05
69,1055.33,0.92898,0.58941,1.0043,0.86196,0.87851,0.89861,0.60745,1.13056,0.754,1.12806,9.08504e-05,9.08504e-05,9.08504e-05
70,1064.72,0.92429,0.58418,0.99473,0.858,0.865,0.89284,0.59719,1.14176,0.78029,1.13535,8.80982e-05,8.80982e-05,8.80982e-05
71,1075.16,0.91931,0.57258,0.99782,0.87075,0.88372,0.91042,0.61422,1.13415,0.71777,1.13579,8.5346e-05,8.5346e-05,8.5346e-05
72,1085.81,0.91556,0.58053,0.99502,0.86419,0.8666,0.90057,0.60337,1.13579,0.7496,1.12778,8.25938e-05,8.25938e-05,8.25938e-05
73,1095.97,0.91109,0.58113,0.99961,0.86204,0.87224,0.89793,0.61263,1.12692,0.75282,1.12378,7.98416e-05,7.98416e-05,7.98416e-05
74,1105.85,0.91554,0.5572,0.99034,0.84518,0.87074,0.89283,0.60394,1.12529,0.78,1.12877,7.70894e-05,7.70894e-05,7.70894e-05
